Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
SUMATERA UTARA,TAPANULI UTARA,1205,Listrik non-PLN,549
SUMATERA UTARA,TAPANULI UTARA,1205,Tidak ada listrik,"1,977"
SUMATERA UTARA,TOBA SAMOSIR,1206,Listrik PLN,"7,427"
SUMATERA UTARA,TOBA SAMOSIR,1206,Listrik non-PLN,164
SUMATERA UTARA,TOBA SAMOSIR,1206,Tidak ada listrik,835
SUMATERA UTARA,LABUHAN BATU,1207,Listrik PLN,"20,029"
SUMATERA UTARA,LABUHAN BATU,1207,Listrik non-PLN,"1,037"
SUMATERA UTARA,LABUHAN BATU,1207,Tidak ada listrik,"2,178"
SUMATERA UTARA,ASAHAN,1208,Listrik PLN,"31,294"
SUMATERA UTARA,ASAHAN,1208,Listrik non-PLN,856
SUMATERA UTARA,ASAHAN,1208,Tidak ada listrik,"1,481"
SUMATERA UTARA,SIMALUNGUN,1209,Listrik PLN,"40,375"
SUMATERA UTARA,SIMALUNGUN,1209,Listrik non-PLN,417
SUMATERA UTARA,SIMALUNGUN,1209,Tidak ada listrik,"1,818"
SUMATERA UTARA,DAIRI,1210,Listrik PLN,"14,786"
SUMATERA UTARA,DAIRI,1210,Listrik non-PLN,261
SUMATERA UTARA,DAIRI,1210,Tidak ada listrik,"2,274"
SUMATERA UTARA,KARO,1211,Listrik PLN,"22,901"
SUMATERA UTARA,KARO,1211,Listrik non-PLN,251
SUMATERA UTARA,KARO,1211,Tidak ada listrik,"1,038"
SUMATERA UTARA,DELI SERDANG,1212,Listrik PLN,"106,752"
SUMATERA UTARA,DELI SERDANG,1212,Listrik non-PLN,"1,460"
SUMATERA UTARA,DELI SERDANG,1212,Tidak ada listrik,"1,962"
SUMATERA UTARA,LANGKAT,1213,Listrik PLN,"93,166"
SUMATERA UTARA,LANGKAT,1213,Listrik non-PLN,"1,335"
SUMATERA UTARA,LANGKAT,1213,Tidak ada listrik,"2,435"
SUMATERA UTARA,NIAS SELATAN,1214,Listrik PLN,"13,059"
SUMATERA UTARA,NIAS SELATAN,1214,Listrik non-PLN,"1,154"
SUMATERA UTARA,NIAS SELATAN,1214,Tidak ada listrik,"29,865"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Listrik PLN,"11,887"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Listrik non-PLN,122
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Tidak ada listrik,"1,159"
SUMATERA UTARA,PAKPAK BHARAT,1216,Listrik PLN,"1,812"
SUMATERA UTARA,PAKPAK BHARAT,1216,Listrik non-PLN,206
SUMATERA UTARA,PAKPAK BHARAT,1216,Tidak ada listrik,318
SUMATERA UTARA,SAMOSIR,1217,Listrik PLN,"6,136"
SUMATERA UTARA,SAMOSIR,1217,Listrik non-PLN,238
SUMATERA UTARA,SAMOSIR,1217,Tidak ada listrik,363
SUMATERA UTARA,SERDANG BEDAGAI,1218,Listrik PLN,"34,962"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Listrik non-PLN,224
SUMATERA UTARA,SERDANG BEDAGAI,1218,Tidak ada listrik,876
SUMATERA UTARA,BATU BARA,1219,Listrik PLN,"41,133"
SUMATERA UTARA,BATU BARA,1219,Listrik non-PLN,774
SUMATERA UTARA,BATU BARA,1219,Tidak ada listrik,"1,185"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Listrik PLN,"7,892"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Listrik non-PLN,471
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Tidak ada listrik,"2,854"
