Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Jumlah IndividuUsia di bawah 6 tahun,Jumlah IndividuUsia 6 - 14 tahun,Jumlah IndividuUsia 15 - 44 tahun,Jumlah IndividuUsia 45 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
SUMATERA UTARA,SIMALUNGUN,1209,P,"8,751","19,955","32,323","12,537","9,584"
SUMATERA UTARA,SIMALUNGUN,1209,L,"9,260","21,468","34,851","11,060","6,785"
SUMATERA UTARA,DAIRI,1210,P,"5,769","12,221","15,256","4,594","2,376"
SUMATERA UTARA,DAIRI,1210,L,"6,014","12,886","16,058","4,586","1,672"
SUMATERA UTARA,KARO,1211,P,"6,049","12,880","23,237","5,999","1,879"
SUMATERA UTARA,KARO,1211,L,"6,751","13,779","24,243","6,574","2,024"
SUMATERA UTARA,DELI SERDANG,1212,P,"13,138","37,292","86,313","34,917","24,865"
SUMATERA UTARA,DELI SERDANG,1212,L,"14,195","40,250","93,511","29,159","17,737"
SUMATERA UTARA,LANGKAT,1213,P,"19,788","40,054","84,737","25,862","14,838"
SUMATERA UTARA,LANGKAT,1213,L,"21,198","42,109","90,001","25,446","12,763"
SUMATERA UTARA,NIAS SELATAN,1214,P,"11,802","25,697","51,874","9,762","3,224"
SUMATERA UTARA,NIAS SELATAN,1214,L,"12,776","28,463","50,436","9,898","3,858"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,P,"4,499","8,894","9,939","3,181","3,001"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,L,"4,903","9,363","10,008","3,099","1,697"
SUMATERA UTARA,PAKPAK BHARAT,1216,P,"1,040","2,056","2,507",480,154
SUMATERA UTARA,PAKPAK BHARAT,1216,L,"1,078","2,164","2,567",532,173
SUMATERA UTARA,SAMOSIR,1217,P,"2,912","6,182","6,426","1,849",723
SUMATERA UTARA,SAMOSIR,1217,L,"3,096","6,424","6,287","2,023",587
SUMATERA UTARA,SERDANG BEDAGAI,1218,P,"8,211","17,438","31,544","11,139","6,731"
SUMATERA UTARA,SERDANG BEDAGAI,1218,L,"8,619","18,491","34,226","10,566","4,929"
SUMATERA UTARA,BATU BARA,1219,P,"8,727","18,937","37,918","12,398","7,929"
SUMATERA UTARA,BATU BARA,1219,L,"9,460","20,474","41,354","11,499","5,964"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,P,"4,318","8,336","12,362","2,266",572
SUMATERA UTARA,PADANG LAWAS UTARA,1220,L,"4,626","8,859","12,097","2,423",608
SUMATERA UTARA,PADANG LAWAS,1221,P,"5,548","11,326","18,129","3,977","1,391"
SUMATERA UTARA,PADANG LAWAS,1221,L,"5,915","12,162","18,391","3,933","1,214"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,P,"2,425","5,234","9,688","2,318",773
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,L,"2,606","5,746","10,023","2,389",668
SUMATERA UTARA,LABUHAN BATU UTARA,1223,P,"4,707","10,557","18,022","4,934","3,363"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,L,"5,093","11,229","19,332","4,770","2,290"
SUMATERA UTARA,NIAS UTARA,1224,P,"6,614","13,634","24,993","5,733","3,129"
SUMATERA UTARA,NIAS UTARA,1224,L,"7,423","15,205","24,804","4,904","2,777"
SUMATERA UTARA,NIAS BARAT,1225,P,"4,195","8,374","15,985","4,226","1,990"
SUMATERA UTARA,NIAS BARAT,1225,L,"4,606","8,867","15,183","3,370","1,665"
SUMATERA UTARA,KOTA SIBOLGA,1271,P,"1,338","3,281","5,453","1,583",788
SUMATERA UTARA,KOTA SIBOLGA,1271,L,"1,467","3,501","5,990","1,527",502
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,P,"3,101","7,406","15,040","4,664","2,082"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,L,"3,409","8,225","17,062","4,555","1,705"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,P,"2,880","7,171","15,264","6,494","3,584"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,L,"2,978","7,836","16,618","5,707","2,489"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,P,"1,982","4,576","9,426","3,651","1,971"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,L,"2,329","4,901","10,172","3,228","1,569"
SUMATERA UTARA,KOTA MEDAN,1275,P,"18,940","47,533","105,428","37,519","18,438"
SUMATERA UTARA,KOTA MEDAN,1275,L,"20,455","51,623","113,790","35,462","14,372"
SUMATERA UTARA,KOTA BINJAI,1276,P,"2,161","5,800","13,558","5,474","2,984"
SUMATERA UTARA,KOTA BINJAI,1276,L,"2,427","6,340","14,912","5,036","2,270"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,P,"2,198","5,428","10,106","3,311","1,818"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,L,"2,238","5,741","10,458","2,961","1,049"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,P,"4,492","8,419","15,182","4,053","2,577"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,L,"4,824","9,063","14,866","3,190","1,789"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,P,"2,365","5,519","8,663","1,716",302
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,L,"2,576","6,126","9,409","2,548",476
SUMATERA BARAT,PESISIR SELATAN,1302,P,"7,723","19,044","39,337","12,720","6,799"
SUMATERA BARAT,PESISIR SELATAN,1302,L,"8,466","20,976","42,396","13,379","6,012"
SUMATERA BARAT,SOLOK,1303,P,"6,490","15,363","29,850","9,534","4,625"
SUMATERA BARAT,SOLOK,1303,L,"6,974","16,116","31,726","9,585","4,074"
SUMATERA BARAT,SIJUNJUNG,1304,P,"2,720","6,106","10,085","3,484","2,343"
SUMATERA BARAT,SIJUNJUNG,1304,L,"3,116","6,319","11,051","3,294","1,800"
SUMATERA BARAT,TANAH DATAR,1305,P,"4,107","9,694","16,911","6,491","4,541"
SUMATERA BARAT,TANAH DATAR,1305,L,"4,326","10,674","16,914","6,993","3,674"
SUMATERA BARAT,PADANG PARIAMAN,1306,P,"5,675","14,735","24,362","9,569","8,590"
SUMATERA BARAT,PADANG PARIAMAN,1306,L,"6,212","16,167","25,213","9,289","6,061"
SUMATERA BARAT,AGAM,1307,P,"4,603","10,903","17,131","6,773","5,540"
SUMATERA BARAT,AGAM,1307,L,"4,960","12,124","18,853","7,213","4,549"
SUMATERA BARAT,LIMA PULUH KOTA,1308,P,"5,354","12,581","23,926","9,424","8,709"
SUMATERA BARAT,LIMA PULUH KOTA,1308,L,"5,840","13,900","25,855","9,147","6,241"
SUMATERA BARAT,PASAMAN,1309,P,"5,613","13,531","23,839","7,744","3,826"
SUMATERA BARAT,PASAMAN,1309,L,"6,179","14,197","25,245","7,703","3,194"
SUMATERA BARAT,SOLOK SELATAN,1310,P,"2,246","5,090","10,096","2,918","1,264"
SUMATERA BARAT,SOLOK SELATAN,1310,L,"2,398","5,393","10,537","3,152","1,397"
SUMATERA BARAT,DHARMASRAYA,1311,P,"1,280","3,370","5,995","1,912","1,322"
SUMATERA BARAT,DHARMASRAYA,1311,L,"1,361","3,601","6,611","2,028","1,096"
SUMATERA BARAT,PASAMAN BARAT,1312,P,"7,767","17,902","36,140","11,436","6,584"
SUMATERA BARAT,PASAMAN BARAT,1312,L,"8,506","19,129","38,079","11,018","4,624"
SUMATERA BARAT,KOTA PADANG,1371,P,"8,409","20,566","43,684","14,706","8,023"
SUMATERA BARAT,KOTA PADANG,1371,L,"8,951","22,623","47,726","14,728","6,422"
SUMATERA BARAT,KOTA SOLOK,1372,P,617,"1,325","2,499",701,329
SUMATERA BARAT,KOTA SOLOK,1372,L,639,"1,386","2,668",774,293
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,P,308,691,"1,159",579,477
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,L,367,792,"1,216",548,292
SUMATERA BARAT,KOTA PADANG PANJANG,1374,P,480,980,"1,658",550,479
SUMATERA BARAT,KOTA PADANG PANJANG,1374,L,470,"1,133","1,709",574,342
SUMATERA BARAT,KOTA BUKITTINGGI,1375,P,771,"1,899","3,492","1,257",710
SUMATERA BARAT,KOTA BUKITTINGGI,1375,L,831,"2,112","3,652","1,321",531
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,P,"1,506","3,254","5,887","1,946","1,482"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,L,"1,637","3,395","6,595","2,089","1,158"
SUMATERA BARAT,KOTA PARIAMAN,1377,P,"1,059","2,414","4,160","1,593","1,386"
