Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
ACEH,KOTA LHOKSEUMAWE,1174,Air Kemasan,"5,934"
ACEH,KOTA LHOKSEUMAWE,1174,Air Ledeng,661
ACEH,KOTA LHOKSEUMAWE,1174,Sumber Terlindung,"4,524"
ACEH,KOTA LHOKSEUMAWE,1174,Sumber Tidak Terlindung,"1,064"
ACEH,KOTA SUBULUSSALAM,1175,Air Kemasan,265
ACEH,KOTA SUBULUSSALAM,1175,Air Ledeng,303
ACEH,KOTA SUBULUSSALAM,1175,Sumber Terlindung,822
ACEH,KOTA SUBULUSSALAM,1175,Sumber Tidak Terlindung,"5,920"
ACEH,TOTAL,"62,290",Air Kemasan,"29,987"
ACEH,TOTAL,"62,290",Air Ledeng,"263,064"
ACEH,TOTAL,"62,290",Sumber Terlindung,"175,366"
SUMATERA UTARA,NIAS,1201,Air Kemasan,51
SUMATERA UTARA,NIAS,1201,Air Ledeng,96
SUMATERA UTARA,NIAS,1201,Sumber Terlindung,"1,772"
SUMATERA UTARA,NIAS,1201,Sumber Tidak Terlindung,"19,084"
SUMATERA UTARA,MANDAILING NATAL,1202,Air Kemasan,398
SUMATERA UTARA,MANDAILING NATAL,1202,Air Ledeng,128
SUMATERA UTARA,MANDAILING NATAL,1202,Sumber Terlindung,"15,519"
SUMATERA UTARA,MANDAILING NATAL,1202,Sumber Tidak Terlindung,"15,517"
SUMATERA UTARA,TAPANULI SELATAN,1203,Air Kemasan,106
SUMATERA UTARA,TAPANULI SELATAN,1203,Air Ledeng,340
SUMATERA UTARA,TAPANULI SELATAN,1203,Sumber Terlindung,"8,012"
SUMATERA UTARA,TAPANULI SELATAN,1203,Sumber Tidak Terlindung,"11,616"
SUMATERA UTARA,TAPANULI TENGAH,1204,Air Kemasan,684
SUMATERA UTARA,TAPANULI TENGAH,1204,Air Ledeng,"2,011"
SUMATERA UTARA,TAPANULI TENGAH,1204,Sumber Terlindung,"9,814"
SUMATERA UTARA,TAPANULI TENGAH,1204,Sumber Tidak Terlindung,"17,178"
SUMATERA UTARA,TAPANULI UTARA,1205,Air Kemasan,4
SUMATERA UTARA,TAPANULI UTARA,1205,Air Ledeng,"1,431"
SUMATERA UTARA,TAPANULI UTARA,1205,Sumber Terlindung,"15,413"
SUMATERA UTARA,TAPANULI UTARA,1205,Sumber Tidak Terlindung,"9,190"
SUMATERA UTARA,TOBA SAMOSIR,1206,Air Kemasan,84
SUMATERA UTARA,TOBA SAMOSIR,1206,Air Ledeng,240
SUMATERA UTARA,TOBA SAMOSIR,1206,Sumber Terlindung,"5,378"
SUMATERA UTARA,TOBA SAMOSIR,1206,Sumber Tidak Terlindung,"2,724"
SUMATERA UTARA,LABUHAN BATU,1207,Air Kemasan,"1,933"
SUMATERA UTARA,LABUHAN BATU,1207,Air Ledeng,303
SUMATERA UTARA,LABUHAN BATU,1207,Sumber Terlindung,"5,193"
SUMATERA UTARA,LABUHAN BATU,1207,Sumber Tidak Terlindung,"15,815"
SUMATERA UTARA,ASAHAN,1208,Air Kemasan,"8,679"
SUMATERA UTARA,ASAHAN,1208,Air Ledeng,"2,902"
SUMATERA UTARA,ASAHAN,1208,Sumber Terlindung,"18,077"
SUMATERA UTARA,ASAHAN,1208,Sumber Tidak Terlindung,"3,973"
SUMATERA UTARA,SIMALUNGUN,1209,Air Kemasan,490
SUMATERA UTARA,SIMALUNGUN,1209,Air Ledeng,"8,541"
SUMATERA UTARA,SIMALUNGUN,1209,Sumber Terlindung,"27,102"
SUMATERA UTARA,SIMALUNGUN,1209,Sumber Tidak Terlindung,"6,477"
SUMATERA UTARA,DAIRI,1210,Air Kemasan,36
SUMATERA UTARA,DAIRI,1210,Air Ledeng,"1,325"
SUMATERA UTARA,DAIRI,1210,Sumber Terlindung,"7,531"
SUMATERA UTARA,DAIRI,1210,Sumber Tidak Terlindung,"8,429"
SUMATERA UTARA,KARO,1211,Air Kemasan,344
SUMATERA UTARA,KARO,1211,Air Ledeng,"4,630"
SUMATERA UTARA,KARO,1211,Sumber Terlindung,"15,674"
SUMATERA UTARA,KARO,1211,Sumber Tidak Terlindung,"3,542"
SUMATERA UTARA,DELI SERDANG,1212,Air Kemasan,"24,088"
SUMATERA UTARA,DELI SERDANG,1212,Air Ledeng,"3,362"
SUMATERA UTARA,DELI SERDANG,1212,Sumber Terlindung,"61,819"
SUMATERA UTARA,DELI SERDANG,1212,Sumber Tidak Terlindung,"20,905"
SUMATERA UTARA,LANGKAT,1213,Air Kemasan,"9,747"
SUMATERA UTARA,LANGKAT,1213,Air Ledeng,"5,079"
SUMATERA UTARA,LANGKAT,1213,Sumber Terlindung,"53,597"
SUMATERA UTARA,LANGKAT,1213,Sumber Tidak Terlindung,"28,513"
SUMATERA UTARA,NIAS SELATAN,1214,Air Kemasan,215
SUMATERA UTARA,NIAS SELATAN,1214,Air Ledeng,207
SUMATERA UTARA,NIAS SELATAN,1214,Sumber Terlindung,"6,475"
SUMATERA UTARA,NIAS SELATAN,1214,Sumber Tidak Terlindung,"37,181"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Air Kemasan,9
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Air Ledeng,311
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Sumber Terlindung,"5,259"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Sumber Tidak Terlindung,"7,589"
SUMATERA UTARA,PAKPAK BHARAT,1216,Air Kemasan,2
SUMATERA UTARA,PAKPAK BHARAT,1216,Air Ledeng,36
SUMATERA UTARA,PAKPAK BHARAT,1216,Sumber Terlindung,976
SUMATERA UTARA,PAKPAK BHARAT,1216,Sumber Tidak Terlindung,"1,322"
SUMATERA UTARA,SAMOSIR,1217,Air Kemasan,12
SUMATERA UTARA,SAMOSIR,1217,Air Ledeng,178
SUMATERA UTARA,SAMOSIR,1217,Sumber Terlindung,"1,544"
SUMATERA UTARA,SAMOSIR,1217,Sumber Tidak Terlindung,"5,003"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Air Kemasan,"3,002"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Air Ledeng,606
SUMATERA UTARA,SERDANG BEDAGAI,1218,Sumber Terlindung,"28,005"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Sumber Tidak Terlindung,"4,449"
SUMATERA UTARA,BATU BARA,1219,Air Kemasan,"3,199"
SUMATERA UTARA,BATU BARA,1219,Air Ledeng,"6,645"
SUMATERA UTARA,BATU BARA,1219,Sumber Terlindung,"30,853"
SUMATERA UTARA,BATU BARA,1219,Sumber Tidak Terlindung,"2,395"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Air Kemasan,107
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Air Ledeng,20
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Sumber Terlindung,"3,545"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Sumber Tidak Terlindung,"7,545"
SUMATERA UTARA,PADANG LAWAS,1221,Air Kemasan,148
SUMATERA UTARA,PADANG LAWAS,1221,Air Ledeng,0
SUMATERA UTARA,PADANG LAWAS,1221,Sumber Terlindung,"9,294"
SUMATERA UTARA,PADANG LAWAS,1221,Sumber Tidak Terlindung,"7,363"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Air Kemasan,"1,032"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Air Ledeng,65
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Sumber Terlindung,"2,630"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Sumber Tidak Terlindung,"5,329"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Air Kemasan,"1,521"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Air Ledeng,475
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Sumber Terlindung,"8,069"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Sumber Tidak Terlindung,"9,397"
SUMATERA UTARA,NIAS UTARA,1224,Air Kemasan,106
SUMATERA UTARA,NIAS UTARA,1224,Air Ledeng,231
SUMATERA UTARA,NIAS UTARA,1224,Sumber Terlindung,"2,039"
SUMATERA UTARA,NIAS UTARA,1224,Sumber Tidak Terlindung,"20,670"
SUMATERA UTARA,NIAS BARAT,1225,Air Kemasan,34
SUMATERA UTARA,NIAS BARAT,1225,Air Ledeng,24
SUMATERA UTARA,NIAS BARAT,1225,Sumber Terlindung,"1,797"
SUMATERA UTARA,NIAS BARAT,1225,Sumber Tidak Terlindung,"11,940"
SUMATERA UTARA,KOTA SIBOLGA,1271,Air Kemasan,646
SUMATERA UTARA,KOTA SIBOLGA,1271,Air Ledeng,"3,408"
SUMATERA UTARA,KOTA SIBOLGA,1271,Sumber Terlindung,825
SUMATERA UTARA,KOTA SIBOLGA,1271,Sumber Tidak Terlindung,529
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Air Kemasan,"6,469"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Air Ledeng,"5,736"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Sumber Terlindung,701
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Sumber Tidak Terlindung,"1,394"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Air Kemasan,"1,179"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Air Ledeng,"13,207"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Sumber Terlindung,"3,088"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Sumber Tidak Terlindung,288
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Air Kemasan,"2,709"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Air Ledeng,"1,255"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Sumber Terlindung,"6,436"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Sumber Tidak Terlindung,314
SUMATERA UTARA,KOTA MEDAN,1275,Air Kemasan,"46,641"
SUMATERA UTARA,KOTA MEDAN,1275,Air Ledeng,"30,607"
SUMATERA UTARA,KOTA MEDAN,1275,Sumber Terlindung,"31,593"
SUMATERA UTARA,KOTA MEDAN,1275,Sumber Tidak Terlindung,"1,307"
SUMATERA UTARA,KOTA BINJAI,1276,Air Kemasan,"5,437"
SUMATERA UTARA,KOTA BINJAI,1276,Air Ledeng,517
SUMATERA UTARA,KOTA BINJAI,1276,Sumber Terlindung,"8,486"
SUMATERA UTARA,KOTA BINJAI,1276,Sumber Tidak Terlindung,"1,419"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Air Kemasan,"1,059"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Air Ledeng,810
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Sumber Terlindung,"1,743"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Sumber Tidak Terlindung,"6,849"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Air Kemasan,202
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Air Ledeng,659
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Sumber Terlindung,"3,568"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Sumber Tidak Terlindung,"9,611"
SUMATERA UTARA,TOTAL,"120,373",Air Kemasan,"95,385"
SUMATERA UTARA,TOTAL,"120,373",Air Ledeng,"401,827"
SUMATERA UTARA,TOTAL,"120,373",Sumber Terlindung,"304,857"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Air Kemasan,31
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Air Ledeng,22
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Sumber Terlindung,"1,626"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Sumber Tidak Terlindung,"6,369"
SUMATERA BARAT,PESISIR SELATAN,1302,Air Kemasan,"5,537"
SUMATERA BARAT,PESISIR SELATAN,1302,Air Ledeng,"2,987"
SUMATERA BARAT,PESISIR SELATAN,1302,Sumber Terlindung,"15,346"
SUMATERA BARAT,PESISIR SELATAN,1302,Sumber Tidak Terlindung,"14,131"
SUMATERA BARAT,SOLOK,1303,Air Kemasan,"1,623"
SUMATERA BARAT,SOLOK,1303,Air Ledeng,"2,894"
SUMATERA BARAT,SOLOK,1303,Sumber Terlindung,"12,400"
SUMATERA BARAT,SOLOK,1303,Sumber Tidak Terlindung,"13,129"
SUMATERA BARAT,SIJUNJUNG,1304,Air Kemasan,"1,231"
SUMATERA BARAT,SIJUNJUNG,1304,Air Ledeng,"1,184"
