Provinsi,NamaKab/Kota,KodeKab/Kota,Bahan bakar memasak,Jumlah rumah tangga
ACEH,KOTA LHOKSEUMAWE,1174,Minyak tanah,202
ACEH,KOTA LHOKSEUMAWE,1174,Briket/Arang/Kayu,"1,646"
ACEH,KOTA LHOKSEUMAWE,1174,Tidak memasak di rumah,28
ACEH,KOTA SUBULUSSALAM,1175,Listrik/Gas,"1,724"
ACEH,KOTA SUBULUSSALAM,1175,Minyak tanah,38
ACEH,KOTA SUBULUSSALAM,1175,Briket/Arang/Kayu,"5,541"
ACEH,KOTA SUBULUSSALAM,1175,Tidak memasak di rumah,7
ACEH,TOTAL,"305,051",Listrik/Gas,"10,222"
ACEH,TOTAL,"305,051",Minyak tanah,"212,966"
ACEH,TOTAL,"305,051",Briket/Arang/Kayu,"2,466"
SUMATERA UTARA,NIAS,1201,Listrik/Gas,27
SUMATERA UTARA,NIAS,1201,Minyak tanah,120
SUMATERA UTARA,NIAS,1201,Briket/Arang/Kayu,"20,838"
SUMATERA UTARA,NIAS,1201,Tidak memasak di rumah,18
SUMATERA UTARA,MANDAILING NATAL,1202,Listrik/Gas,"1,559"
SUMATERA UTARA,MANDAILING NATAL,1202,Minyak tanah,546
SUMATERA UTARA,MANDAILING NATAL,1202,Briket/Arang/Kayu,"29,355"
SUMATERA UTARA,MANDAILING NATAL,1202,Tidak memasak di rumah,102
SUMATERA UTARA,TAPANULI SELATAN,1203,Listrik/Gas,566
SUMATERA UTARA,TAPANULI SELATAN,1203,Minyak tanah,125
SUMATERA UTARA,TAPANULI SELATAN,1203,Briket/Arang/Kayu,"19,294"
SUMATERA UTARA,TAPANULI SELATAN,1203,Tidak memasak di rumah,89
SUMATERA UTARA,TAPANULI TENGAH,1204,Listrik/Gas,"2,973"
SUMATERA UTARA,TAPANULI TENGAH,1204,Minyak tanah,655
SUMATERA UTARA,TAPANULI TENGAH,1204,Briket/Arang/Kayu,"25,983"
SUMATERA UTARA,TAPANULI TENGAH,1204,Tidak memasak di rumah,76
SUMATERA UTARA,TAPANULI UTARA,1205,Listrik/Gas,"4,964"
SUMATERA UTARA,TAPANULI UTARA,1205,Minyak tanah,94
SUMATERA UTARA,TAPANULI UTARA,1205,Briket/Arang/Kayu,"20,919"
SUMATERA UTARA,TAPANULI UTARA,1205,Tidak memasak di rumah,61
SUMATERA UTARA,TOBA SAMOSIR,1206,Listrik/Gas,"2,505"
SUMATERA UTARA,TOBA SAMOSIR,1206,Minyak tanah,58
SUMATERA UTARA,TOBA SAMOSIR,1206,Briket/Arang/Kayu,"5,857"
SUMATERA UTARA,TOBA SAMOSIR,1206,Tidak memasak di rumah,6
SUMATERA UTARA,LABUHAN BATU,1207,Listrik/Gas,"14,584"
SUMATERA UTARA,LABUHAN BATU,1207,Minyak tanah,690
SUMATERA UTARA,LABUHAN BATU,1207,Briket/Arang/Kayu,"7,815"
SUMATERA UTARA,LABUHAN BATU,1207,Tidak memasak di rumah,155
SUMATERA UTARA,ASAHAN,1208,Listrik/Gas,"22,900"
SUMATERA UTARA,ASAHAN,1208,Minyak tanah,585
SUMATERA UTARA,ASAHAN,1208,Briket/Arang/Kayu,"9,962"
SUMATERA UTARA,ASAHAN,1208,Tidak memasak di rumah,184
SUMATERA UTARA,SIMALUNGUN,1209,Listrik/Gas,"25,126"
SUMATERA UTARA,SIMALUNGUN,1209,Minyak tanah,352
SUMATERA UTARA,SIMALUNGUN,1209,Briket/Arang/Kayu,"16,873"
SUMATERA UTARA,SIMALUNGUN,1209,Tidak memasak di rumah,259
SUMATERA UTARA,DAIRI,1210,Listrik/Gas,"4,486"
SUMATERA UTARA,DAIRI,1210,Minyak tanah,38
SUMATERA UTARA,DAIRI,1210,Briket/Arang/Kayu,"12,793"
SUMATERA UTARA,DAIRI,1210,Tidak memasak di rumah,4
SUMATERA UTARA,KARO,1211,Listrik/Gas,"17,417"
SUMATERA UTARA,KARO,1211,Minyak tanah,219
SUMATERA UTARA,KARO,1211,Briket/Arang/Kayu,"6,533"
SUMATERA UTARA,KARO,1211,Tidak memasak di rumah,21
SUMATERA UTARA,DELI SERDANG,1212,Listrik/Gas,"85,231"
SUMATERA UTARA,DELI SERDANG,1212,Minyak tanah,"7,089"
SUMATERA UTARA,DELI SERDANG,1212,Briket/Arang/Kayu,"17,063"
SUMATERA UTARA,DELI SERDANG,1212,Tidak memasak di rumah,791
SUMATERA UTARA,LANGKAT,1213,Listrik/Gas,"70,929"
SUMATERA UTARA,LANGKAT,1213,Minyak tanah,"1,931"
SUMATERA UTARA,LANGKAT,1213,Briket/Arang/Kayu,"23,437"
SUMATERA UTARA,LANGKAT,1213,Tidak memasak di rumah,639
SUMATERA UTARA,NIAS SELATAN,1214,Listrik/Gas,208
SUMATERA UTARA,NIAS SELATAN,1214,Minyak tanah,519
SUMATERA UTARA,NIAS SELATAN,1214,Briket/Arang/Kayu,"43,311"
SUMATERA UTARA,NIAS SELATAN,1214,Tidak memasak di rumah,39
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Listrik/Gas,"1,103"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Minyak tanah,12
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Briket/Arang/Kayu,"12,028"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Tidak memasak di rumah,25
SUMATERA UTARA,PAKPAK BHARAT,1216,Listrik/Gas,133
SUMATERA UTARA,PAKPAK BHARAT,1216,Minyak tanah,1
SUMATERA UTARA,PAKPAK BHARAT,1216,Briket/Arang/Kayu,"2,202"
SUMATERA UTARA,PAKPAK BHARAT,1216,Tidak memasak di rumah,0
SUMATERA UTARA,SAMOSIR,1217,Listrik/Gas,"1,149"
SUMATERA UTARA,SAMOSIR,1217,Minyak tanah,14
SUMATERA UTARA,SAMOSIR,1217,Briket/Arang/Kayu,"5,567"
SUMATERA UTARA,SAMOSIR,1217,Tidak memasak di rumah,7
SUMATERA UTARA,SERDANG BEDAGAI,1218,Listrik/Gas,"23,033"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Minyak tanah,779
SUMATERA UTARA,SERDANG BEDAGAI,1218,Briket/Arang/Kayu,"11,961"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Tidak memasak di rumah,289
SUMATERA UTARA,BATU BARA,1219,Listrik/Gas,"33,612"
SUMATERA UTARA,BATU BARA,1219,Minyak tanah,310
SUMATERA UTARA,BATU BARA,1219,Briket/Arang/Kayu,"8,745"
SUMATERA UTARA,BATU BARA,1219,Tidak memasak di rumah,425
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Listrik/Gas,518
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Minyak tanah,75
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Briket/Arang/Kayu,"10,616"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Tidak memasak di rumah,8
SUMATERA UTARA,PADANG LAWAS,1221,Listrik/Gas,"1,004"
SUMATERA UTARA,PADANG LAWAS,1221,Minyak tanah,229
SUMATERA UTARA,PADANG LAWAS,1221,Briket/Arang/Kayu,"15,547"
SUMATERA UTARA,PADANG LAWAS,1221,Tidak memasak di rumah,25
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Listrik/Gas,"3,714"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Minyak tanah,255
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Briket/Arang/Kayu,"5,070"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Tidak memasak di rumah,17
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Listrik/Gas,"9,086"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Minyak tanah,156
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Briket/Arang/Kayu,"10,049"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Tidak memasak di rumah,170
SUMATERA UTARA,NIAS UTARA,1224,Listrik/Gas,26
SUMATERA UTARA,NIAS UTARA,1224,Minyak tanah,209
SUMATERA UTARA,NIAS UTARA,1224,Briket/Arang/Kayu,"22,805"
SUMATERA UTARA,NIAS UTARA,1224,Tidak memasak di rumah,6
SUMATERA UTARA,NIAS BARAT,1225,Listrik/Gas,16
SUMATERA UTARA,NIAS BARAT,1225,Minyak tanah,39
